property_id,company_id,agent_id,measure_id,link,thumbnail_image,no_of_images,type,price,features,address,no_of_bedrooms,no_of_bathrooms,area,freshness,
p_1,c_1,a_1,m_1,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-hills-estate-executive-residences-executive-residences-2-11024073.html,https://www.propertyfinder.ae/property/f62c099b58f30610b2e354ecc438855a/416/272/MODE/720beb/11024073-e96aeo.webp?ctr=ae,16,Apartment,"2,660,000 AED",Vacant Now | Low Floor | Boulevard View,"Executive Residences 2, Executive Residences, Dubai Hills Estate, Dubai",2,3,990 sqft,Listed 9 hours ago,
p_2,c_1,a_1,m_1,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-circle-eaton-place-10957603.html,https://www.propertyfinder.ae/property/fb50f87969db9d853c93a12ce8f9b9fd/416/272/MODE/303af6/10957603-ef474o.webp?ctr=ae,10,Apartment,"950,000 AED",Pool View | Vacant March 24 | Ellington,"Eaton Place, Jumeirah Village Circle, Dubai",1,1,676 sqft,Listed 12 days ago,
p_3,c_1,a_1,m_1,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-hills-estate-park-heights-park-heights-1-10808468.html,https://www.propertyfinder.ae/property/c3437a54701fd8458c2ec62c48ba462c/416/272/MODE/bbfd85/10808468-ca107o.webp?ctr=ae,12,Apartment,"1,500,000 AED",Mid Floor | Pool View | Vacant On Transfer,"Park Heights 1, Park Heights, Dubai Hills Estate, Dubai",1,1,645 sqft,Listed 1 month ago,
p_4,c_1,a_1,m_1,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-hills-estate-park-heights-park-heights-1-10811948.html,https://www.propertyfinder.ae/property/4b31677d145a8b19f1975cdb2929ec29/416/272/MODE/bb1895/10811948-8afcbo.webp?ctr=ae,10,Apartment,"1,400,000 AED",Vacant March | Mid Floor | Great Investment,"Park Heights 1, Park Heights, Dubai Hills Estate, Dubai",1,1,645 sqft,Listed 1 month ago,
p_5,c_1,a_1,m_1,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-hills-estate-park-heights-park-heights-2-10674265.html,https://www.propertyfinder.ae/property/b67f7cabc4b93f2ef68365d2ffffe3b3/416/272/MODE/e46bb8/10674265-47f00o.webp?ctr=ae,11,Apartment,"1,400,000 AED",High Floor | Investment | Boulevard View,"Park Heights 2, Park Heights, Dubai Hills Estate, Dubai",1,1,648 sqft,Listed 2 months ago,
p_6,c_2,a_2,m_2,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-parkside-2-11011614.html,https://www.propertyfinder.ae/property/b952ce6082c59ac5bcd2f108cc5ce0d5/416/272/MODE/f950a3/11011614-cf020o.webp?ctr=ae,29,Townhouse,"1,700,000 AED",Motivated Seller | Payment Plan | Call Today!,"Parkside 2, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,945 sqft",Listed 2 days ago,
p_7,c_2,a_2,m_2,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-parkside-2-11007271.html,https://www.propertyfinder.ae/property/a7fe3a0385bf134cc4b4b9a2a722902b/416/272/MODE/cf6f28/11007271-1fc0eo.webp?ctr=ae,30,Townhouse,"2,300,000 AED",Payment Plan | Brand New | Motivated Seller,"Parkside 2, EMAAR South, Dubai South (Dubai World Central), Dubai",4,4,"2,541 sqft",Listed 2 days ago,
p_8,c_2,a_2,m_2,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-parkside-2-11012367.html,https://www.propertyfinder.ae/property/a681f61b5de1f2853de59d6be80aebde/416/272/MODE/c9e343/11012367-c1cbdo.webp?ctr=ae,30,Townhouse,"1,850,000 AED",Single Row | Vacant | Payment Plan,"Parkside 2, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,989 sqft",Listed 2 days ago,
p_9,c_2,a_2,m_2,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-urbana-ii-10981717.html,https://www.propertyfinder.ae/property/e57d6dc3c31ac9f5fdc0730424d486b5/416/272/MODE/1d85f8/10981717-2a8f8o.webp?ctr=ae,30,Townhouse,"2,000,000 AED",Large Plot | Upgraded Yard | Well Maintained,"Urbana II, EMAAR South, Dubai South (Dubai World Central), Dubai",3,2,"2,800 sqft",Listed 7 days ago,
p_10,c_2,a_2,m_2,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-parkside-2-10937906.html,https://www.propertyfinder.ae/property/95809516aa752b867a82101c8d002ab0/416/272/MODE/954e04/10937906-d5837o.webp?ctr=ae,25,Townhouse,"1,800,000 AED",Single Row | Handed Over | Brand New,"Parkside 2, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,990 sqft",Listed 15 days ago,
